id_time;data;dia;mês;ano;dia_semana;semana;util;feriado
1;26/08/2002;26;8;2002;segunda-feira;35;U;N
2;27/08/2002;27;8;2002;terça-feira;35;U;N
3;28/08/2002;28;8;2002;quarta-feira;35;U;N
4;29/08/2002;29;8;2002;quinta-feira;35;U;N
5;30/08/2002;30;8;2002;sexta-feira;35;U;N
6;31/08/2002;31;8;2002;sábado;35;N;N
7;01/09/2002;1;9;2002;domingo;35;N;N
8;02/09/2002;2;9;2002;segunda-feira;36;U;N
9;03/09/2002;3;9;2002;terça-feira;36;U;N
10;04/09/2002;4;9;2002;quarta-feira;36;U;N
11;05/09/2002;5;9;2002;quinta-feira;36;U;N
12;06/09/2002;6;9;2002;sexta-feira;36;U;N
13;07/09/2002;7;9;2002;sábado;36;N;N
14;08/09/2002;8;9;2002;domingo;36;N;N
15;09/09/2002;9;9;2002;segunda-feira;37;U;N
16;10/09/2002;10;9;2002;terça-feira;37;U;N
17;11/09/2002;11;9;2002;quarta-feira;37;U;N
18;12/09/2002;12;9;2002;quinta-feira;37;U;N
19;13/09/2002;13;9;2002;sexta-feira;37;U;N
20;14/09/2002;14;9;2002;sábado;37;N;N
21;15/09/2002;15;9;2002;domingo;37;N;N
22;16/09/2002;16;9;2002;segunda-feira;38;U;N
23;17/09/2002;17;9;2002;terça-feira;38;U;N
24;18/09/2002;18;9;2002;quarta-feira;38;U;N
25;19/09/2002;19;9;2002;quinta-feira;38;U;N
26;20/09/2002;20;9;2002;sexta-feira;38;U;N
27;21/09/2002;21;9;2002;sábado;38;N;N
28;22/09/2002;22;9;2002;domingo;38;N;N
29;23/09/2002;23;9;2002;segunda-feira;39;U;N
30;24/09/2002;24;9;2002;terça-feira;39;U;N
31;25/09/2002;25;9;2002;quarta-feira;39;U;N
32;26/09/2002;26;9;2002;quinta-feira;39;U;N
33;27/09/2002;27;9;2002;sexta-feira;39;U;N
34;28/09/2002;28;9;2002;sábado;39;N;N
35;29/09/2002;29;9;2002;domingo;39;N;N
36;30/09/2002;30;9;2002;segunda-feira;40;U;N
37;01/10/2002;1;10;2002;terça-feira;40;U;N
38;02/10/2002;2;10;2002;quarta-feira;40;U;N
39;03/10/2002;3;10;2002;quinta-feira;40;U;N
40;04/10/2002;4;10;2002;sexta-feira;40;U;N
41;05/10/2002;5;10;2002;sábado;40;N;S
42;06/10/2002;6;10;2002;domingo;40;N;N
43;07/10/2002;7;10;2002;segunda-feira;41;U;N
44;08/10/2002;8;10;2002;terça-feira;41;U;N
45;09/10/2002;9;10;2002;quarta-feira;41;U;N
46;10/10/2002;10;10;2002;quinta-feira;41;U;N
47;11/10/2002;11;10;2002;sexta-feira;41;U;N
48;12/10/2002;12;10;2002;sábado;41;N;N
49;13/10/2002;13;10;2002;domingo;41;N;N
50;14/10/2002;14;10;2002;segunda-feira;42;U;N
51;15/10/2002;15;10;2002;terça-feira;42;U;N
52;16/10/2002;16;10;2002;quarta-feira;42;U;N
53;17/10/2002;17;10;2002;quinta-feira;42;U;N
54;18/10/2002;18;10;2002;sexta-feira;42;U;N
55;19/10/2002;19;10;2002;sábado;42;N;N
56;20/10/2002;20;10;2002;domingo;42;N;N
57;21/10/2002;21;10;2002;segunda-feira;43;U;N
58;22/10/2002;22;10;2002;terça-feira;43;U;N
59;23/10/2002;23;10;2002;quarta-feira;43;U;N
60;24/10/2002;24;10;2002;quinta-feira;43;U;N
61;25/10/2002;25;10;2002;sexta-feira;43;U;N
62;26/10/2002;26;10;2002;sábado;43;N;N
63;27/10/2002;27;10;2002;domingo;43;N;N
64;28/10/2002;28;10;2002;segunda-feira;44;U;N
65;29/10/2002;29;10;2002;terça-feira;44;U;N
66;30/10/2002;30;10;2002;quarta-feira;44;U;N
67;31/10/2002;31;10;2002;quinta-feira;44;U;N
68;01/11/2002;1;11;2002;sexta-feira;44;N;S
69;02/11/2002;2;11;2002;sábado;44;N;N
70;03/11/2002;3;11;2002;domingo;44;N;N
71;04/11/2002;4;11;2002;segunda-feira;45;U;N
72;05/11/2002;5;11;2002;terça-feira;45;U;N
73;06/11/2002;6;11;2002;quarta-feira;45;U;N
74;07/11/2002;7;11;2002;quinta-feira;45;U;N
75;08/11/2002;8;11;2002;sexta-feira;45;U;N
76;09/11/2002;9;11;2002;sábado;45;N;N
77;10/11/2002;10;11;2002;domingo;45;N;N
78;11/11/2002;11;11;2002;segunda-feira;46;U;N
